299 9 
2 0 
1000
0 1  0 
0.859375 -1 1011011 1 
-0.999998 6.12323e-17 01000000000000000000 2 
0.999998 1 10111111111111111111 0 
-0.609375 1 0101100 0 
0.999998 -1 10111111111111111111 1 
0.999998 6.12323e-17 10111111111111111111 2 
0.999268 -0.577316 1011111111110 3 
-0.578125 1 0101101 0 
-0.999268 -0.577316 0100000000001 3 
-0.75 -0.83924 010 5 
0.75 -0.83924 101 5 
-0.546875 1 0101110 0 
-0.980469 6.12323e-17 010000010 2 
0.980469 6.12323e-17 101111101 2 
-0.4375 6.12323e-17 01100 2 
-0.515625 1 0101111 0 
0.4375 6.12323e-17 10011 2 
-0.999512 0.658716 010000000000 4 
0.999512 0.658716 101111111111 4 
-0.929688 1 01000100 0 
-0.929688 -1 01000100 1 
-0.796875 -1 0100110 1 
0.796875 -1 1011001 1 
-0.914062 1 01000101 0 
-0.914062 -1 01000101 1 
0.999969 -0.577316 1011111111111111 3 
-0.999969 -0.577316 0100000000000000 3 
-0.898438 1 01000110 0 
-0.999977 1 010000000000000001 0 
-0.999977 -1 010000000000000001 1 
-0.999977 6.12323e-17 010000000000000001 2 
-0.882812 1 01000111 0 
0.999977 1 101111111111111110 0 
0.999977 -1 101111111111111110 1 
0.999977 6.12323e-17 101111111111111110 2 
-0.997559 1 010000000010 0 
-0.997559 -1 010000000010 1 
-0.765625 -1 0100111 1 
0.765625 -1 1011000 1 
-0.996582 1 010000000011 0 
-0.996582 -1 010000000011 1 
-0.3125 6.12323e-17 01101 2 
0.3125 6.12323e-17 10010 2 
0.882812 1 10111000 0 
-0.972656 6.12323e-17 010000011 2 
0.972656 6.12323e-17 101111100 2 
-0.994141 0.658716 0100000001 4 
0.898438 1 10111001 0 
0.994141 0.658716 1011111110 4 
0.5 0.870029 10 6 
-0.5 0.870029 01 6 
0.996582 1 101111111100 0 
0.996582 -1 101111111100 1 
-0.999999 1 010000000000000000000 0 
-0.999999 -1 010000000000000000000 1 
0.997559 1 101111111101 0 
0.997559 -1 101111111101 1 
-0.999999 6.12323e-17 010000000000000000000 2 
0.999999 1 101111111111111111111 0 
0.914062 1 10111010 0 
0.999999 -1 101111111111111111111 1 
0.914062 -1 10111010 1 
0.999999 6.12323e-17 101111111111111111111 2 
0.929688 1 10111011 0 
0.929688 -1 10111011 1 
-0.999634 -0.577316 01000000000001 3 
0.999634 -0.577316 10111111111110 3 
-0.25 -0.83924 011 5 
-0.875 -0.83924 0100 5 
0.875 -0.83924 1011 5 
-0.71875 6.12323e-17 010100 2 
0.25 -0.83924 100 5 
0.71875 6.12323e-17 101011 2 
-0.990234 6.12323e-17 0100000010 2 
0.990234 6.12323e-17 1011111101 2 
-1 0.305729 0 7 
-0.375 -0.577316 0110 3 
0.375 -0.577316 1001 3 
-0.46875 -1 011000 1 
1 0.305729 1 7 
0.46875 -1 100111 1 
-0.999756 0.658716 0100000000000 4 
0.999756 0.658716 1011111111111 4 
0 -0.321539  8 
-0.999985 -0.577316 01000000000000000 3 
0.999985 -0.577316 10111111111111111 3 
-0.898438 -1 01000110 1 
-0.998779 1 0100000000010 0 
-0.998779 -1 0100000000010 1 
0.898438 -1 10111001 1 
-0.65625 6.12323e-17 010101 2 
-0.998291 1 0100000000011 0 
-0.998291 -1 0100000000011 1 
0.65625 6.12323e-17 101010 2 
-0.999989 1 0100000000000000001 0 
0.515625 1 1010000 0 
-0.999989 -1 0100000000000000001 1 
